dataset,GID_1,NAME_1,GID_2,NAME_2,POPESTIMATE2015,1km_population,pop_error,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_lived_cells,5km_lived_density,5km_gini_index,5km_arithmetic_pwd,5km_geometric_pwd,10km_lived_cells,10km_lived_density,10km_gini_index,10km_arithmetic_pwd,10km_geometric_pwd,5km_pop_error,10km_pop_error,5km_area_error,10km_area_error
ghs,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,56498.0,3.0,1516.0,54.0,69.0,0.8873394743933433,37.0,567.0,282.0,93.0,38.0,0.7997846408882864,373.0,152.0,100.0,38.0,0.7276335472563539,216.0,112.0,0.0,0.09,0.2,2.24
gpw,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,56394.0,3.0,1516.0,89.0,42.0,0.7924476197183293,37.0,506.0,190.0,95.0,37.0,0.7868041416002137,349.0,143.0,100.0,38.0,0.7224709260615872,210.0,110.0,0.0,0.12,0.2,2.24
worldpop,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,55028.0,0.0,1509.0,76.0,48.0,0.8325460381583888,36.0,521.0,215.0,96.0,37.0,0.793910874551447,350.0,143.0,100.0,37.0,0.7230604247024502,205.0,107.0,0.0,0.1,0.2,2.19
landscan,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,45377.0,17.0,1516.0,53.0,57.0,0.9072632214171596,30.0,679.0,303.0,97.0,30.0,0.8257154412016321,352.0,148.0,100.0,31.0,0.7700404962036109,210.0,110.0,0.0,0.05,0.4,2.44
ghs,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,201510.0,1.0,4233.0,47.0,101.0,0.8546238837073842,48.0,390.0,247.0,79.0,56.0,0.7569774428508395,200.0,135.0,88.0,51.0,0.7045464097939002,156.0,107.0,0.07,0.41,0.33,2.03
gpw,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,201660.0,1.0,4233.0,69.0,69.0,0.799461788946966,48.0,352.0,191.0,85.0,53.0,0.7439895844486876,196.0,129.0,89.0,50.0,0.7036513184043596,157.0,107.0,0.09,0.54,0.33,2.03
worldpop,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,200397.0,1.0,4228.0,63.0,75.0,0.8278991201875673,47.0,386.0,216.0,82.0,54.0,0.7542334716352477,198.0,132.0,88.0,50.0,0.703033176080469,155.0,106.0,0.08,0.52,0.33,2.08
landscan,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,185337.0,9.0,4229.0,52.0,84.0,0.8831823549729637,44.0,560.0,300.0,85.0,50.0,0.7848595314877432,233.0,149.0,91.0,46.0,0.7294678471918237,166.0,109.0,0.12,0.43,1.77,1.92
ghs,USA.1_1,Alabama,USA.1.3_1,Barbour,26283.0,25960.0,1.0,2293.0,32.0,35.0,0.9252473643163612,11.0,355.0,145.0,91.0,12.0,0.807570473924217,125.0,51.0,98.0,12.0,0.7252834169057372,67.0,32.0,0.91,0.91,2.66,2.66
gpw,USA.1_1,Alabama,USA.1.3_1,Barbour,26283.0,26195.0,0.0,2293.0,62.0,18.0,0.8332542631381007,11.0,255.0,80.0,97.0,12.0,0.7716196231409999,113.0,43.0,100.0,12.0,0.7055654061148277,63.0,30.0,1.04,1.04,2.66,2.66
