geoid,1km_population,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_population,5km_area,5km_lived_cells,5km_lived_density,5km_gini_index,5km_density,5km_arithmetic_pwd,5km_geometric_pwd,10km_population,10km_area,10km_lived_cells,10km_lived_density,10km_gini_index,10km_density,10km_arithmetic_pwd,10km_geometric_pwd
CZ,10538067.048304265,78403.31432282925,45.06755898174425,298.35654350432225,0.8880108212355251,134.40843846107435,1804.6696014221352,967.8679140002512,10538067.047644038,78403.90311256466,92.65025950108823,140.65955205924652,0.7283511426856968,134.40742908569885,1035.3368134944194,425.7856414690127,10538067.048139507,78403.90313489299,96.53846153846153,135.43753420373136,0.6568850060454243,134.40742905374094,768.2977844562347,318.69058868124404
DE,10538067.048304265,78403.31432282925,45.06755898174425,298.35654350432225,0.8880108212355251,134.40843846107435,1804.6696014221352,967.8679140002512,10538067.047644038,78403.90311256466,92.65025950108823,140.65955205924652,0.7283511426856968,134.40742908569885,1035.3368134944194,425.7856414690127,10538067.048139507,78403.90313489299,96.53846153846153,135.43753420373136,0.6568850060454243,134.40742905374094,768.2977844562347,318.69058868124404
DK,5570609.594432565,42866.05565726757,78.50893875998479,165.3012736618937,0.856834058632678,129.95386463760437,2533.7380883687542,879.3269521419103,5569925.991999876,42869.21931619413,96.53669724770643,130.10547523164277,0.7691802814255911,129.92832808354407,1795.9418251826412,522.7580636195121,5569925.992309777,42870.15201157596,97.70491803278688,129.94898397593835,0.7252036165566483,129.92550133262333,1350.76344975999,406.31883056848363
AL,2886717.4144305442,28666.665357470512,29.910724324810545,336.93927521997756,0.9509294859148828,100.69944928834451,4622.34442518109,1896.6833860529634,2885947.228911702,28667.884927779483,72.77432712215321,133.53664186638764,0.8669504202412857,100.66829960361633,2479.659661470919,753.7827364615652,2885375.1474626507,28621.76334076356,89.94197292069632,107.18672281179865,0.8156838777582278,100.81053054314283,1490.7163329953544,488.728414581814
CY,1145428.330148816,9217.09834241867,46.948392490689365,264.558322407964,0.9072781199624298,124.27211770947024,1748.813575696877,1040.0649658808277,1145156.484638706,9203.71123121345,90.89456869009584,131.04527398705605,0.8110836614095234,124.4233392237497,1184.4692560357298,550.0652861196265,1144589.6183101507,9169.903009141886,94.91525423728814,125.87725727045175,0.7647652766990432,124.82025351511986,862.9983935482787,412.5815562746408
BG,7099591.475603187,110465.70843613148,25.132433185964075,255.7556993070225,0.9515230963702195,64.26964146713452,2356.3358823529775,1120.9881323778309,7099683.774734871,110489.6358375473,82.70329072613544,75.89092991446533,0.8370912927840827,64.25655873437326,1342.1555389139485,400.76437117314794,7099636.11665295,110406.64135854403,94.85294117647058,65.75276819150585,0.7546396536944651,64.30442978151088,879.5787739687573,259.98663301500284
AT,8530764.159791768,83479.60731297731,37.75935906571929,271.5476986460718,0.9094690141308774,102.18979741733426,2346.728733329872,1001.145126335545,8530764.159791661,83476.65382882951,74.01561991539212,134.27594305786815,0.7959229909774297,102.19341299046506,1671.1693817971602,498.3878420695462,8530742.780183867,83441.51227162103,88.39230291744258,111.3687762328366,0.7371597459235865,102.23619572490927,1279.6821973793603,371.6318273093894
BE,11279750.180804124,30483.411711275578,80.51388047468016,460.4813168276275,0.7269649592700291,370.02912559921344,2276.4516232526053,1096.5073629701672,11279641.873556815,30480.666579681536,96.47540983606558,374.8471914122949,0.6324956859925608,370.0588976317153,1739.7627797617677,789.532983590274,11279641.874504933,30480.66659495673,97.84283513097073,370.996405155146,0.6021129451177767,370.0588974773682,1348.0388614007054,691.100772599851
EE,1298399.4935945596,45015.82959359884,25.961005542359462,110.09507092308687,0.9663998369732825,28.843175952025316,2625.3210653720093,981.0401532670766,1291233.4030556516,45013.22508205469,83.63798484172983,32.88692296788433,0.9070567616486233,28.685645178763792,1359.3720890540774,408.7515152138937,1291233.4646594417,45013.22512464497,91.90082644628099,29.67967419363384,0.8667779833769115,28.685646520193128,869.0982258167387,264.1979144869962
EL,10703680.176132593,131206.11572265625,32.2851195510694,251.83858414812354,0.9547737657608828,81.57912546361828,5730.281710203731,1956.9425213696727,10703679.716266133,131207.88787035062,76.42805495300072,98.08973307121282,0.8814241205545884,81.57802011753037,4436.361090024781,995.2695397705361,10703679.716265272,131207.88790532117,86.50653479335924,84.48087717528985,0.8463242040316354,81.57802009578101,3649.3592190204117,732.967904619225
