geoid,1km_population,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_population,5km_area,5km_lived_cells,5km_lived_density,5km_gini_index,5km_density,5km_arithmetic_pwd,5km_geometric_pwd,10km_population,10km_area,10km_lived_cells,10km_lived_density,10km_gini_index,10km_density,10km_arithmetic_pwd,10km_geometric_pwd
USA.1.1_1,56394.16039215692,1515.577403664589,88.91004283674441,41.76160850175871,0.7924476197183293,37.20968672124479,506.00657233614567,189.74062234481255,56393.69459400531,1512.6851541712062,95.04950495049505,37.28052366787138,0.7868041416002137,37.28052360301187,348.76911124486566,142.77578991528938,56329.37278461456,1481.603979587555,100.0,38.019182967026985,0.7224709260615872,38.019182967026985,209.84902645439348,109.7135155470985
USA.1.2_1,201660.39958133377,4232.729652106762,68.95413481584434,68.96634221227681,0.799461788946966,47.643108857888215,352.3292445941601,190.58124846511146,201480.0743444108,4218.69286853437,84.83754512635379,53.14833530952145,0.7439895844486876,47.75888660849768,196.16406235170234,129.0768720461503,200575.92625684294,4146.501128432808,89.47368421052632,50.238680938737524,0.7036513184043596,48.37233128467799,157.01090590091295,106.51276065271782
USA.1.3_1,26194.956955702233,2293.1615312695503,61.78707224334601,18.150130331909082,0.8332542631381007,11.423075347509455,254.55936768610223,80.20524737645934,25922.17171203418,2231.995611774123,97.24137931034483,11.6288418783099,0.7716196231409999,11.613899048587148,112.53956598982995,43.48953663290635,25922.171607494354,2231.9956617355347,100.0,11.613898741782513,0.7055654061148277,11.613898741782513,63.37618972524598,29.75118956991814
USA.1.4_1,24204.651672674347,1600.2803791165352,71.6591928251121,20.945690502260078,0.7621005038025545,15.125256791586096,163.17463169420816,59.59148245369212,24468.080487433806,1650.5827411183043,94.1747572815534,15.241496353033208,0.6793376210202944,14.823904235698096,63.93199617726112,36.346824022510255,23201.15460674296,1553.6416932584943,92.5925925925926,15.072557458061441,0.6544915131014258,14.933401122933665,41.66889215052743,29.533347429080944
USA.1.5_1,60096.21682435274,1682.3565553426743,99.78911851539435,35.79476680864917,0.5096449270188317,35.72145074330686,110.1997683098415,60.01320131745573,60440.71368189943,1676.0003880603317,96.55172413793103,36.06246992384443,0.4605935782198854,36.062469980599865,66.8818053365935,47.189671933018936,58270.84873785816,1572.456075241966,96.96969696969697,37.05721872883333,0.4678469157795833,37.05721873909361,46.29745278970267,41.66359600862014
USA.1.6_1,10487.378536689259,1592.3721965551376,50.43240782885753,12.464272890482608,0.8181364136123142,6.5860095770179585,209.26617858116308,54.68520649299915,10487.395238401654,1593.096597466125,93.57798165137615,6.68829741415736,0.7690928026284622,6.583025320047897,63.156351691986785,26.244796432969792,10487.395339940987,1593.096642830291,96.875,6.583025198807116,0.7335865395734891,6.58302519633028,31.014705621746035,16.332390623949358
USA.1.7_1,20170.761818291336,1953.4004510045052,68.75232774674116,14.838438259334911,0.7684388344272534,10.325973769443353,217.89120317403345,54.20875303762494,19833.745742090046,1914.7697803974152,99.07407407407408,10.457412790822085,0.6879481216842351,10.358292649664392,73.82907184419493,30.96516066358745,19145.996131896973,1783.8926467895508,100.0,10.732706458739981,0.6133216985079196,10.732706458739981,54.69607022411146,25.638292616539776
USA.1.8_1,121476.51753939118,1586.1840186715126,84.93273542600896,90.16127682914309,0.7293395709109933,76.58412650073994,395.50789161522727,224.26284580239275,121245.61433141516,1574.13455243702,92.10526315789474,79.72812304190467,0.6779463098541895,77.0236662067464,220.60980505802686,151.80478505396846,121245.61422966095,1574.1345511636716,96.875,77.02366626071314,0.6368512411657877,77.02366620441099,172.81721140232625,126.1685447965176
USA.1.9_1,31905.980980565026,1537.1391264796257,81.12149532710279,25.45491871114737,0.8011643018803207,20.756729453394687,256.2550420463423,105.1566041251932,31893.195509835692,1536.419692277561,98.91304347826086,20.758127244290513,0.7059954636567514,20.758127268310258,138.61176684239757,69.36027182429952,25686.45443725586,1347.8988246917725,100.0,19.056663576459197,0.6452377795431287,19.056663576459197,83.07672803239248,48.08091406664588
USA.1.10_1,26823.949025012058,1540.4571650624275,89.10845588235294,19.47287686325919,0.5880195264542439,17.412979492957863,62.827419039559175,34.26178146726177,26717.08730222195,1525.5627314391768,96.19047619047619,17.520420116363947,0.5063997744459134,17.512939161156442,32.211481751787396,24.0730976816221,26717.08703994751,1525.562754869461,100.0,17.512938720264987,0.46573794841034893,17.512938720264987,25.451487772290484,21.407053954598705
