geoid,1km_population,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_population,5km_area,5km_lived_cells,5km_lived_density,5km_gini_index,5km_density,5km_arithmetic_pwd,5km_geometric_pwd,10km_population,10km_area,10km_lived_cells,10km_lived_density,10km_gini_index,10km_density,10km_arithmetic_pwd,10km_geometric_pwd
CZ,10557787.140941503,78403.31432282925,98.62975983735016,136.52382133380522,0.6601628105700417,134.65995962197886,748.6842804157342,345.11293576643027,10557728.604046585,78403.90350907214,98.9787376527708,134.70801626870158,0.6316314718920876,134.65820107827852,648.4629955299516,302.9656691032654,10557728.590134617,78403.90362989178,99.2948717948718,134.65820068070698,0.6040988905997204,134.65820069333185,555.9811750410213,269.00861479557875
DE,10557787.140941503,78403.31432282925,98.62975983735016,136.52382133380522,0.6601628105700417,134.65995962197886,748.6842804157342,345.11293576643027,10557728.604046585,78403.90350907214,98.9787376527708,134.70801626870158,0.6316314718920876,134.65820107827852,648.4629955299516,302.9656691032654,10557728.590134617,78403.90362989178,99.2948717948718,134.65820068070698,0.6040988905997204,134.65820069333185,555.9811750410213,269.00861479557875
DK,5568199.376808367,42865.57846650481,99.60843541981316,130.4048168796438,0.7112141463799334,129.89908397385472,2106.130559424897,497.7967265137152,5567753.8162237825,42869.219411288024,97.3847212663455,129.87908278836187,0.7084657514769636,129.87765797195087,1661.92642080148,426.40040351663964,5567753.79892355,42870.15198525037,98.11475409836066,129.87483228956333,0.6936603318972838,129.874832280491,1301.1922929618254,369.4555032301508
AL,2888297.3881223835,28666.665357470512,98.64399919044727,102.13439239772052,0.7822560422072548,100.75456465220483,2651.3700690255964,604.8424568946771,2888222.714621249,28667.88479852848,97.87784679089026,101.27583646231048,0.7679448463389128,100.74767409311974,1816.6751276756333,468.88795823761643,2885905.7269591372,28621.763321270315,98.8394584139265,101.06199844475931,0.7498963357322801,100.82906823614432,1117.091704768467,369.2783396186129
CY,1144956.8738693562,9217.09834241867,95.8425172911758,129.5943811059755,0.6702055315508217,124.22096752511231,877.004922949469,367.9596702146674,1144726.1866359804,9203.71122807558,96.64536741214057,124.37658526518622,0.6801502939598175,124.37658660389471,718.0151850132754,326.65082381654275,1144068.19979208,9169.90300343922,97.17514124293785,124.76339168135199,0.6622477030793249,124.7633916479805,549.301775461103,282.75745548749836
BG,7096385.387850835,110456.23057639599,99.86855133326505,64.33041108933382,0.577834036324929,64.2461303524448,506.0857328956282,155.2411817335428,7096180.253209658,110489.63590161079,99.00707290533188,64.22887890793001,0.5748951041947397,64.22484964588615,441.3735794763976,145.167112579833,7093074.525331326,110406.64136246155,99.26470588235294,64.24609850026825,0.5684582900144014,64.24499865044335,347.9751437019321,134.52316173489945
AT,8552287.954167597,83479.60731297731,99.45066729394834,103.01027305789287,0.6905592567028767,102.44763037880392,1239.0153382078036,361.43294120635613,8552256.136494415,83476.65385464943,98.79596485519036,102.47287974816936,0.6811013449449415,102.45087388607728,1084.5532952536755,323.75183422398635,8551711.51246947,83441.51228582693,98.75853507138423,102.5095169531541,0.6720563604720817,102.48749427234473,956.084233886565,295.63353176485225
BE,11293341.055491924,30483.411711275578,100.0,370.474970533387,0.5636057104125578,370.474970533387,1779.144833827812,724.4652127016527,11293188.915257556,30480.666517158876,98.40163934426229,370.50334624854946,0.5730957682071154,370.5033454206172,1490.942569216455,684.265405445913,11293188.919868847,30480.666418289475,98.7673343605547,370.5033468296942,0.5707577303073135,370.50334677369574,1222.0191080902182,642.2861484066484
EE,1296525.2928846506,45015.82959359884,58.37885985748219,48.664073349277785,0.9035488292790544,28.801541692991787,1961.2487496836375,498.8565549603103,1294337.6532975351,45013.22506490945,93.20106999554169,29.91794408554418,0.877222908016952,28.754608260818667,1107.251028146994,320.7198256694152,1294337.6713765496,45013.22501080416,94.9586776859504,29.349307647946613,0.8508838450154949,28.754608697019158,784.6154972627828,236.74523041996238
EL,10759106.175103396,131206.11572265625,96.68164114927043,84.74736445869232,0.818787275566817,82.0015600328114,4444.327656518998,797.8220907362254,10759076.99187659,131207.8877046434,96.49829563061667,82.00727054041381,0.8142728394733861,82.0002301698195,3799.2334271729146,682.2147885879648,10759076.92562104,131207.8881512674,97.35075944895797,82.00066151985898,0.8094872645308275,82.0002293857293,3228.724464401083,581.4738102606137
