geoid,1km_population,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_population,5km_area,5km_lived_cells,5km_lived_density,5km_gini_index,5km_density,5km_arithmetic_pwd,5km_geometric_pwd,10km_population,10km_area,10km_lived_cells,10km_lived_density,10km_gini_index,10km_density,10km_arithmetic_pwd,10km_geometric_pwd
ABW,111215.0,178.61241698265076,90.65420560747664,686.854049826246,0.8027893684214228,622.6610774255561,4111.662191244449,2474.6601491654524,109181.0,166.0,100.0,657.7168674698795,0.6996906840059076,657.7168674698795,2458.981762064916,1579.0380984059623,93170.0,155.0,100.0,601.0967741935484,0.5282709026488,601.0967741935484,1210.323154059493,995.3803864290716
AFG,32711120.0,641850.892537117,54.37263788132827,94.35533933732341,0.9204762143556168,50.96373687461746,9891.92331325142,994.374271516775,32711125.0,641144.0,87.45240944196672,58.25885741051758,0.840651641852331,51.01993467926082,5137.426243761322,451.6284601340556,32711051.0,641774.0,95.20964472420783,53.39350614797247,0.8017911594674991,50.969735452043864,3635.5968191972743,337.16921050246856
AGO,24962877.0,1246634.8089587688,82.45591617684642,24.262062539039174,0.8782686247636889,20.024209833230817,14983.464522565968,752.350188137046,24962862.0,1248989.0,97.68718279356577,20.39607812697881,0.8307920898442833,19.986454644516485,9768.899538219228,409.64585486304804,24962752.0,1246676.0,98.51982263954096,20.240288003113548,0.8083112536961929,20.023447952796076,6432.710753677244,305.4965862682572
AIA,14642.0,73.09956920146942,96.66666666666667,207.20624452547986,0.5906023763614656,200.3021380282727,547.3511368389367,375.7044138519135,14228.0,74.0,80.0,209.23529411764707,0.5399212819412481,192.27027027027026,251.89129662785024,230.8553700964912,14228.0,73.0,80.0,200.3943661971831,0.6714084902772206,194.9041095890411,226.45308702714522,221.97458996475083
ALA,27171.0,1409.1932843327522,61.14803625377644,31.518466600067036,0.8959965426344488,19.281244313384143,595.8334128441946,217.18300880569006,27154.0,1474.0,84.04255319148936,19.6768115942029,0.8703115449572536,18.421981004070556,291.0523207591227,92.23558240541428,27170.0,1479.0,87.93103448275862,18.71212121212121,0.8755339937627332,18.37052062204192,199.71885440355467,71.29235318743103
ALB,3023537.0,28553.409494817257,75.81216841629981,139.79091859893398,0.8954839168155752,105.89057676452977,8454.689268526368,1556.4963361743362,3021875.0,28393.0,97.04329461457233,108.38474229762204,0.8064028480661359,106.43028211178812,2803.355946478313,626.7444380838249,3021875.0,28581.0,98.63013698630137,106.20584824095877,0.7651762363749448,105.7302053811973,1534.4692313528117,427.88502186511187
AND,85571.0,450.35390216112137,50.42016806722689,376.8207882739881,0.9453973001305749,190.0083458572667,5888.904449850822,3000.704690136002,85429.0,446.0,76.31578947368422,219.04871794871795,0.8293951086128879,191.54484304932734,972.6095910757873,637.9282172711705,83163.0,377.0,100.0,220.59151193633951,0.7128185010092197,220.59151193633951,716.0189383481871,495.01550974219526
ARE,5723585.0,70740.89962220192,21.02447919544676,386.94521203147735,0.9842363240437749,80.90913503457428,9677.087792007176,4734.790045719881,5723584.0,71676.0,43.83946830265849,187.14308134972535,0.9717212448273694,79.85356325687818,5926.140652117184,2886.0579077179636,5469039.0,70833.0,55.44933078393881,142.20809714493734,0.963064227759753,77.21032569565033,4620.4990666298645,2225.953177040558
ARG,43526005.0,2768730.671987891,38.39490013089398,39.58463977622834,0.9725423744700709,15.720563014801737,6967.079637042348,1983.2850205148993,43525739.0,2769364.0,68.58472630305424,22.2859314541957,0.9572059612659327,15.716871816055962,4570.608006145353,1064.5960594091205,43501911.0,2770885.0,81.58908116012674,18.814208125304905,0.944295557361366,15.699645059250024,3694.925402096052,730.5539818949428
ARM,3062127.0,29560.384959757328,62.75895578426609,165.268599784528,0.9447288390404271,103.58887423721623,8642.99542469299,2305.59982653427,3062086.0,29206.0,93.75634517766498,110.50472753518585,0.8663515582169484,104.84441553105526,4481.5984132740405,1003.1754061226094,3059277.0,29520.0,96.46182495344506,105.59426342675687,0.8206945725251706,103.63404471544716,3563.1887286597944,691.2667481854301
ASM,50001.0,198.02572971582413,66.10878661087865,381.96837963660585,0.7778848603410062,252.49749147120272,1118.222384692804,849.2539973257554,50001.0,221.0,83.87096774193549,265.96276595744683,0.7889816396731283,226.24886877828055,548.9429509027348,444.78290007309926,50001.0,222.0,100.0,225.22972972972974,0.7168073305028533,225.22972972972974,462.246675840311,385.59827797352847
ATF,0.0,7432.525699317455,0.0,,0.0,0.0,0.0,1.0,0.0,7779.0,0.0,,-2.8294806724257115e-17,0.0,0.0,1.0,0.0,7779.0,0.0,,0.0,0.0,0.0,1.0
ATG,88751.0,426.21290242671967,67.81609195402298,306.81396368953307,0.83724781034654,208.2316126393177,1843.831435324284,1016.6888560885862,88751.0,431.0,78.57142857142857,245.1685082872928,0.7799442635019049,205.9187935034803,755.6678021105795,491.7161735563034,88751.0,432.0,82.35294117647058,218.06142506142507,0.774749182595861,205.44212962962962,433.6395933159519,361.8005194167976
AUS,22541286.0,7663423.422457993,5.985370990162093,51.52300223629739,0.9963581918139237,2.941412050121332,2147.801936161729,1100.485006363946,22541246.0,7672577.0,21.31838000074108,14.236597401301433,0.9924771771821711,2.937897658114086,1518.0513479787553,647.2673838512461,22541254.0,7673585.0,33.687832342821395,8.916451876781016,0.9894043019948465,2.9375127792290043,1290.7456772248777,492.4272182808077
AUT,8662538.0,83361.16568338871,70.109535323583,148.5285376068108,0.9025929504628282,103.9157493658486,3488.6283770901937,1114.0689030959147,8662543.0,83260.0,96.8817026893252,106.36064829025723,0.7935648019039792,104.04207302426136,2258.3763786215986,543.2871856177663,8662495.0,83360.0,98.74213836477988,104.06024385849,0.7356352801774801,103.91668666026871,1576.710990489159,390.90265218737784
AZE,9741546.0,85836.5912759304,83.04315085685599,136.5231090871747,0.9040629451085624,113.48943213139505,5010.694380649156,1345.7233949634121,9741593.0,85217.0,95.77464788732394,117.968381409092,0.803997292293814,114.31513665113768,2830.652376004081,627.8552335287922,9741593.0,85860.0,97.93333333333332,114.34465637654792,0.7495776329279582,113.45903796878639,1552.7495447284164,439.24283122651974
BDI,10744974.0,26930.083737134933,92.18948035487959,432.78195528124064,0.5911328601126732,398.99519455200726,2672.8903074271375,863.4576850356405,10741812.0,26525.0,94.22649888971134,427.26271826896306,0.4752868335367354,404.96934967012254,1152.6813051115303,611.5396909588586,10731902.0,26626.0,95.29085872576178,414.5992659841607,0.4462657617481525,403.0609930143469,841.3440889501865,542.3250670188072
BEL,11325052.0,30523.79273968935,91.98519467577763,403.7242133764549,0.7495748987837937,371.0237484765223,3027.64267522349,1272.469220937686,11325003.0,30760.0,99.37578027465668,369.15714844513985,0.6184165832987555,368.17304941482445,2025.0700336685054,815.771958090161,11325003.0,30541.0,99.53488372093024,371.01962390250293,0.5923885529652111,370.81310369667005,1556.9332725585266,705.9484086747107
BEN,10435619.0,115370.00072211027,98.81483536946028,91.53543484135898,0.862391783335042,90.45348820908907,5946.17994647653,1004.490604903522,10430502.0,115044.0,99.94736842105263,90.69922870235911,0.7819505606318692,90.66532804839888,2495.0458070722916,488.07718565492615,10430502.0,115409.0,100.0,90.3785839925829,0.7435846941924968,90.3785839925829,1364.0039361993101,356.306814629694
