geoid,1km_population,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_population,5km_area,5km_lived_cells,5km_lived_density,5km_gini_index,5km_density,5km_arithmetic_pwd,5km_geometric_pwd,10km_population,10km_area,10km_lived_cells,10km_lived_density,10km_gini_index,10km_density,10km_arithmetic_pwd,10km_geometric_pwd
CZ,10590039.722117594,78380.7465223074,96.86612905503694,139.4668836881989,0.7668995223127124,135.11021764896864,1204.2243062598632,531.1095032946247,10589942.22164339,78409.31899729527,98.72760756738657,135.32865953627598,0.6945932879307007,135.05973979966197,863.0075272852041,374.2041725823097,10589942.253928646,78409.31950128078,99.9354422207876,135.0616752675356,0.6393151890389076,135.05973934330171,684.320224094171,302.3926639432524
DE,10590039.722117594,78380.7465223074,96.86612905503694,139.4668836881989,0.7668995223127124,135.11021764896864,1204.2243062598632,531.1095032946247,10589942.22164339,78409.31899729527,98.72760756738657,135.32865953627598,0.6945932879307007,135.05973979966197,863.0075272852041,374.2041725823097,10589942.253928646,78409.31950128078,99.9354422207876,135.0616752675356,0.6393151890389076,135.05973934330171,684.320224094171,302.3926639432524
DK,5613630.89342227,42799.305018275976,99.0834323106918,132.35715069916728,0.8185398260795491,131.1617301034482,2588.7444562298665,764.3567387777242,5613033.400672786,42874.27193035353,97.07093821510297,130.93891019343982,0.7699699279568923,130.9184540740609,1829.6487471609644,524.3121286986042,5613033.405936778,42875.204782277346,99.83333333333333,130.921486671996,0.721439521345096,130.91560575488958,1375.2965596648833,409.3932633770672
AL,2761514.0181747545,28368.521524071693,97.9570503351892,99.37334453711867,0.8470316860033278,97.34430523041225,3620.9028169442654,897.1985227042362,2761176.5683931783,28578.923466626547,98.1789802289282,96.74382018683959,0.8211019530937262,96.61583549910766,2221.6036421238427,592.5537589839454,2759704.7996026278,28593.68079137802,99.80392156862746,96.61281296719159,0.7901476703116855,96.51449982035099,1360.1989285000213,428.7503179038568
CY,1209726.9663037825,9217.780892252922,89.9984800121599,145.76252730796153,0.8581315035373023,131.23841632214288,1613.9880719389412,802.8697376849017,1209457.4934551066,9209.321342640178,96.48,131.34944528012954,0.8049672192764091,131.32970915622028,1199.3758227036178,555.1611777731208,1208753.3269481063,9176.217315137386,99.41520467836257,131.7366604999295,0.7568630030181445,131.7267546567481,888.7186000710587,427.891566366099
BG,7122331.089847005,110344.06593257189,99.84221558932762,64.64682996135124,0.7512881106747021,64.54657103354573,926.6375681094943,283.83249034976205,7122295.591296146,110477.56431983213,99.10142954390741,64.47555445177471,0.7090565373874919,64.4682532163465,753.5771055532589,226.4577096526532,7118211.917574048,110271.86100047827,99.89384288747345,64.55513988938353,0.6688023897210463,64.55148079475302,577.8625673370257,189.6543033674597
AT,8568876.790905513,83279.65738552809,98.33902019529516,104.61889689819331,0.7946408348396063,102.8927959109804,1878.623214257183,558.1264802575798,8568851.664874092,83456.8790590732,98.79400260756192,102.69597480722757,0.7480085600702192,102.67400077121037,1518.8279193505555,420.0713352269979,8568560.866499364,83421.14698851109,99.93702770780857,102.71521091568583,0.7112570894138287,102.71449357654411,1210.4094444962532,346.01825864876236
BE,11209824.526061535,30479.261898696423,100.0,367.7853014721781,0.6764332520687436,367.7853014721781,2594.00780224009,987.51486422572,11209627.94975576,30480.238030328845,98.40163934426229,367.7670747546521,0.6263304284081169,367.76707382015223,1996.3478192559844,795.0657578100834,11209627.965585709,30480.23780721426,100.0,367.7670770315493,0.5969338087029635,367.7670770315493,1458.3885692991712,695.7457549813903
EE,1304589.1297288,43284.285941272974,45.9167918974,64.62881489218506,0.9321399868307964,30.140017361007953,2661.31754832274,773.3779806908343,1292736.715064023,43782.329354994596,93.52022058823529,30.658801516703008,0.8968396663939382,29.526449005997215,1441.1145913212558,409.3920395625996,1292736.811001435,44134.76601803303,98.19121447028424,29.397057250335607,0.8592158094389155,29.29066873206568,901.5984904440754,267.6623008549392
EL,10543290.040552713,130829.9753831625,93.33367196627216,86.20207631556114,0.883404320936639,80.58772471426765,6167.5286987381505,1358.1844202638536,10543265.366740368,131239.68666786683,96.39276485788115,80.43587121337269,0.8560663046435345,80.33595350941826,4599.1459253042285,927.6780472926329,10543265.443719745,131244.86735463142,99.74610083424011,80.3356730332952,0.8331185890898825,80.33278295928491,3649.3360974079214,710.3235612976335
ES,48809107.091745555,503603.1154521704,83.3071203054801,115.94517861740188,0.9327827497473449,96.9197878133087,5337.5013572799735,1891.4846008201816,48808237.29303374,503860.3579473281,99.26401503288443,96.90171068962331,0.8964181853703431,96.86857980229513,3715.8298281796997,1135.9703509747435,48783549.7819314,503781.9084072113,99.93881546744983,96.83541682392897,0.8587802980750412,96.83465993482885,2786.2286947608313,815.5920788523337
FI,5468491.44342837,327127.0804644525,37.28938488552681,40.384522835916535,0.90877889915404,16.71671888387916,897.4886549523011,254.91871710317685,5468492.899887656,334491.6408897509,83.99134381927583,18.713665403814066,0.8994183880088374,16.348668341431235,768.1382016184691,204.43110734667337,5468492.888894866,334771.65553969145,97.03337453646476,16.525733411453935,0.885019841390161,16.33499371408553,675.235974044869,167.2011179182998
FR,67247172.11495149,634563.9959200621,89.75249880547746,121.9765739235392,0.8427096932293169,105.97382225798833,3554.5394214740327,844.3571860519727,67242164.37379068,635237.9181352772,98.1214616572311,107.55948226799971,0.78633080084641,105.8535116593451,2692.6687847060566,590.5407186202781,67193238.12072651,635122.6888103485,99.83540599853694,105.81113011448598,0.7470540245220662,105.79568216431774,2236.5134101166627,479.5752407846402
HR,4157992.60909521,56168.20769691467,98.29391236913533,75.30138844128646,0.7610090817701648,74.02751092810122,957.8403641098139,319.91548985578237,4157893.97015467,56237.44392729373,96.58081705150977,73.95527667081872,0.7449541377621921,73.93461864181062,759.4456393205028,260.3866938412876,4157893.9719395638,56237.443919062614,99.91935483870968,73.93621386001695,0.7256208024389341,73.93461868437048,620.5173736177501,221.92795709446693
CH,8293261.799004182,40199.082740068436,91.74942035959577,224.87976140724336,0.8279455380146926,206.3047520917156,2496.9974064160024,1060.1240271572237,8283244.287569609,40946.55180422477,97.85972999670727,203.08359138577282,0.7739652092622284,202.29406195602928,1563.261280919747,705.5764433192575,8246658.99981197,40896.56395250559,99.375,201.67880475325944,0.7254098880387807,201.6467449292088,1064.6265551235574,547.7228528878139
HU,9659257.01401079,91962.50405883789,99.69107667375671,105.35278126561256,0.807808062474338,105.03473250174623,2152.9857593105157,620.9711886932658,9658989.378439687,92419.6081714057,99.15548182777862,104.5461439962149,0.7319829828462094,104.51233855618254,1441.433614783362,398.65315083725636,9658989.374027759,92492.69619703293,99.94169096209913,104.4304213234706,0.6640764847819699,104.42975252285498,1101.7623376412507,299.62782679620796
IE,4887515.662521778,69194.39440223575,90.60376294625634,77.77456669896073,0.845390504123414,70.63456085922267,2213.357127115486,636.4211713990485,4887552.124182092,69484.43612557868,98.08105872622002,70.35969669610768,0.7646607698225649,70.34024303440928,1275.4479402123302,348.1935457390539,4853334.6030160785,69393.7815952301,99.74779319041615,69.94109778569978,0.717604515875038,69.93904196380733,1013.445819283902,265.33415393458307
IS,317297.41782613285,101205.5987161994,4.837340876944837,58.17194829864495,0.9499153473687284,3.135176530261906,832.2670130688213,229.90827556598862,317291.0613638031,101836.22559207324,56.4237973430151,5.445425489141276,0.9454576497861994,3.1156993448950105,711.910419528377,197.24868795630334,317291.0609526908,101839.45458778739,89.82300884955751,3.4030212436532956,0.9404580443627868,3.1156005522317516,611.2186129224891,170.6643209477785
IT,60125262.28641032,298287.70639038086,55.99797156828913,361.5780444867756,0.9180550783420165,201.56801972831565,4600.255335815625,2128.3897941954665,60121325.720510215,299174.1057748845,89.74232887490166,219.60220150371038,0.8026879726048507,200.95765161490579,2174.3515117195193,885.3061306182176,60115997.01248562,299228.99227648973,97.41606940777065,203.84911207751526,0.7288194313446118,200.90298254568197,1618.7666335285483,639.0191192536951
CY0,1209726.9663037825,9217.780892252922,89.9984800121599,145.76252730796153,0.8581315035373023,131.23841632214288,1613.9880719389412,802.8697376849017,1209457.4934551066,9209.321342640178,96.48,131.34944528012954,0.8049672192764091,131.32970915622028,1199.3758227036178,555.1611777731208,1208753.3269481063,9176.217315137386,99.41520467836257,131.7366604999295,0.7568630030181445,131.7267546567481,888.7186000710587,427.891566366099
DEA,17319467.29083526,33912.01427781582,99.99842700517515,510.7257457591069,0.6690169243455001,510.71774000063203,1789.4379134484986,1168.1025189831075,17319526.78684163,33913.10773660629,98.8056460369164,510.7030283265445,0.6282223413721796,510.70302731786177,1454.491659017315,970.2960943947509,17318850.53197384,33897.25805413723,100.0,510.9218717429576,0.5990368859576632,510.9218717429576,1282.7841406819775,875.695337718878
CH0,8293261.799004182,40199.082740068436,91.74942035959577,224.87976140724336,0.8279455380146926,206.3047520917156,2496.9974064160024,1060.1240271572237,8283244.287569609,40946.55180422477,97.85972999670727,203.08359138577282,0.7739652092622284,202.29406195602928,1563.261280919747,705.5764433192575,8246658.99981197,40896.56395250559,99.375,201.67880475325944,0.7254098880387807,201.6467449292088,1064.6265551235574,547.7228528878139
FRE,6004091.075524747,31742.00527614355,99.94099475894623,189.26300425296145,0.7790654586809095,189.15285985530545,2015.0535422341632,808.3277944677675,6004173.7234608345,31746.444345542877,98.74595469255664,189.12901431860584,0.6948833476391431,189.12901420104407,1375.6461055574275,553.0729070717987,6001582.91013813,31648.05779027939,100.0,189.63510967745702,0.6444738292489188,189.63510967745702,1112.5766184351342,462.6799686967217
BG3,3548051.879384976,67909.70206534863,99.91078572939564,52.29218638239966,0.7056414817424578,52.24661236137852,520.9331930576367,174.09984854715574,3548085.78174036,68002.25082424452,98.61949956859361,52.17744420859252,0.650688828269324,52.176005040047556,395.34648740645065,134.5707998311784,3545244.8319348693,67837.4979980588,99.91701244813278,52.261312480040544,0.6031605499489114,52.26084299330023,291.474124711549,114.10363071248811
LV,2239552.7517378367,63947.72060510516,99.34142088992425,35.24379988271526,0.803888938906096,35.02161970037515,1319.1520837182384,338.2837888213217,2239263.150793144,64089.10811438567,98.71817079508055,34.940335761428095,0.7888580309247437,34.93983949342105,1039.769151064664,264.5254510838102,2237856.748802811,63937.62168973684,99.93288590604027,35.000874323998865,0.7672317607616774,35.00062544806899,878.615467983376,216.86189235023167
ME,618317.6869719094,13389.659067988396,93.68401295105814,49.19847039916725,0.7749694399880281,46.178747631458755,395.76070839996305,181.61449293534952,618360.6154050087,13782.831132055238,97.06477732793523,45.113258372757016,0.7590324341670512,44.86455717844969,294.28083217005934,148.77132186431984,617749.1841092408,13786.574652850628,99.62264150943396,44.81001137369308,0.7233674430488078,44.8080251740783,231.06773244360977,122.80127249861191
MT,398463.42656707764,310.4799733161926,100.0,1283.37883539201,0.5668897160155438,1283.37883539201,3445.2715940751314,2275.0822268266393,384480.9175118139,298.68389497247114,93.33333333333333,1287.250248286488,0.6200618084231134,1287.2502467776192,2568.888642476011,1926.8231249836545,337972.6694030762,274.4091563820839,100.0,1231.637726156948,0.6114940459607058,1231.637726156948,1939.7206591005233,1621.031747167111
MK,2095726.87517659,24896.508746922016,99.02306090443993,85.000725873584,0.7198666693501528,84.17754057326158,647.3231789870974,270.2068784676892,2095690.7011786648,25149.669755471376,98.09410363311495,83.5837638311912,0.7023494242457327,83.32875626419475,527.9476595492488,231.56096676546204,2094736.1839219332,25218.26724177599,99.77064220183486,83.06632852674274,0.6729011517385025,83.06423926112744,426.753394686772,199.7008300689976
DE7,5955300.703048162,20993.130784213543,98.9305782127968,286.709732559193,0.6980977723950401,283.67854057892316,1438.2821779550159,769.9456310293633,5955300.701566916,20993.667445279687,98.25682742591516,283.86650409474487,0.6538183359353262,283.67128883457343,1100.500102565921,609.3717141311337,5954425.9715976715,20976.467140853405,100.0,283.86219336243397,0.6208648369828406,283.86219336243397,947.139767854101,540.4553864831864
EL5,3079586.0041815797,51168.89296758175,88.66601455811175,67.74576500621666,0.8659893625198811,60.18472993216139,5097.627486293563,851.076884232161,3079638.227484146,51452.38158256822,97.86636720943291,60.00241487017552,0.8276234311373226,59.85414343827984,3177.1960716986678,509.9109064115492,3060215.7132974565,51381.95730429888,99.68717413972888,59.57166023149511,0.7939966816948885,59.55817710823996,1727.5258264949891,339.2995194553793
